place,address,rating,activity
Sites of Barcelona,"Carrer de Còrsega, 508, Gràcia, 08025 Barcelona, Spain",4.6,sightseeing
Tibidabo,"Pl. del Tibidabo, 3, 4, Sarrià-Sant Gervasi, 08035 Barcelona, Spain",4.4,sightseeing
Tibidabo Panoramic Area,"Pl. del Tibidabo, 3, 4, Sarrià-Sant Gervasi, 08035 Barcelona, Spain",4.7,sightseeing
Escalinata monumental,"Carrer d'Olot, 78, Gràcia, 08024 Barcelona, Spain",4.5,sightseeing
Las ramblas,"Ciutat Vella, 08002 Barcelona, Spain",4.3,sightseeing
Catalunya en Miniatura,"Can Balasch de Baix, s/n, 08629 Torrelles de Llobregat, Barcelona, Spain",4.1,sightseeing
Ciutadella Park,"Ciutat Vella, 08003 Barcelona, Spain",4.6,sightseeing
Barcelona City Tour,"Carrer de Sardenya, 311, L'Eixample, 08025 Barcelona, Spain",3.8,sightseeing
Parc del Laberint d'Horta,"Passeig dels Castanyers, 1, Horta-Guinardó, 08035 Barcelona, Spain",4.4,sightseeing
Barcelona Bosc Urbà,"Parc del Forum, s/n, 08019 Barcelona, Spain",4.2,sightseeing
Tour Barcelona,"Carrer de la Comtessa de Sobradiel, 1B, Ciutat Vella, 08002 Barcelona, Spain",5,sightseeing
Tours and the City,"Carrer de Nil Fabra, 34, 36, Gràcia, 08012 Barcelona, Spain",5,sightseeing
Parc del Mirador del Poble-sec,"Passeig de Montjuïc, 28, Sants-Montjuïc, 08005 Barcelona, Spain",4.5,sightseeing
Big Fun Museum,"Big Fun Museum, Rambla de Sant Josep, 88-94, Ciutat Vella, 08002 Barcelona, Spain",4.1,sightseeing
Plaça de Gaudí,"Carrer de Lepant, 278, L'Eixample, 08013 Barcelona, Spain",4.6,sightseeing
BrightSide Tours Barcelona,"Passatge de Tasso, 6, L'Eixample, 08009 Barcelona, Spain",5,sightseeing
Free Walking Tours Barcelona,"Av. del Paral·lel, 36, 6, 1, Ciutat Vella, 08001 Barcelona, Spain",5,sightseeing
Barceloneta Park,"Pg. Marítim de la Barceloneta, 15, Ciutat Vella, 08002 Barcelona, Spain",4.3,sightseeing
Plaça Reial,"Pl. Reial, 1, Ciutat Vella, 08002 Barcelona, Spain",4.6,sightseeing
Plaça de la Sagrada Família,"Plaça Sagrada Família, s/n, L'Eixample, 08013 Barcelona, Spain",4.6,sightseeing
Barcelona - Culinary Backstreets Barcelona - Food Tours,"Gracia Market, Carrer d'Astúries, Gracia, 08006 Barcelona, Spain",4.9,dinning
Gastronomic Arts Barcelona,"Carrer de Lancaster, 10, Bajo 1a, Ciutat Vella, 08001 Barcelona, Spain",5,dinning
The Barcelona Taste - Food Tours,"Pg. de St. Joan, 55, 4-1, Eixample, 08009 Barcelona, Spain",5,dinning
